#3
S
#3
sid,name,age
#300
0,a76,34
1,a278,79
2,a256,50
3,a167,35
4,a23,73
5,a270,81
6,a248,33
7,a224,76
8,a279,49
9,a35,49
10,a237,43
11,a39,28
12,a260,86
13,a67,41
14,a142,35
15,a290,56
16,a133,89
17,a57,35
18,a227,89
19,a60,73
20,a9,80
21,a158,71
22,a278,85
23,a146,67
24,a122,47
25,a65,42
26,a56,88
27,a267,52
28,a38,44
29,a118,29
30,a169,80
31,a86,40
32,a245,59
33,a279,67
34,a160,30
35,a229,46
36,a81,36
37,a76,85
38,a260,35
39,a237,60
40,a110,41
41,a2,59
42,a191,45
43,a248,64
44,a153,44
45,a65,54
46,a167,52
47,a178,26
48,a13,87
49,a251,25
50,a232,44
51,a36,37
52,a97,66
53,a7,48
54,a23,23
55,a72,30
56,a73,62
57,a219,63
58,a283,73
59,a75,31
60,a249,59
61,a83,65
62,a231,62
63,a117,39
64,a129,37
65,a203,53
66,a215,43
67,a4,38
68,a260,78
69,a193,87
70,a34,63
71,a132,55
72,a278,35
73,a32,56
74,a189,57
75,a216,23
76,a0,27
77,a286,72
78,a216,44
79,a8,79
80,a208,26
81,a260,86
82,a1,24
83,a231,50
84,a277,82
85,a110,51
86,a59,50
87,a56,74
88,a56,65
89,a170,60
90,a182,55
91,a282,84
92,a230,60
93,a286,46
94,a63,81
95,a234,78
96,a33,90
97,a285,49
98,a7,30
99,a270,33
100,a199,72
101,a268,25
102,a110,52
103,a127,34
104,a210,90
105,a125,66
106,a29,90
107,a84,68
108,a146,32
109,a180,30
110,a18,29
111,a26,55
112,a136,74
113,a261,32
114,a110,67
115,a181,84
116,a245,29
117,a139,25
118,a133,34
119,a8,85
120,a186,34
121,a159,24
122,a92,59
123,a29,46
124,a47,47
125,a49,21
126,a288,71
127,a116,84
128,a262,61
129,a216,48
130,a284,49
131,a74,24
132,a201,84
133,a52,29
134,a72,87
135,a26,46
136,a116,32
137,a156,24
138,a194,43
139,a131,57
140,a198,60
141,a12,34
142,a52,72
143,a114,86
144,a68,76
145,a163,56
146,a58,75
147,a227,80
148,a294,37
149,a166,64
150,a17,90
151,a56,57
152,a236,86
153,a127,43
154,a201,27
155,a115,46
156,a274,32
157,a35,34
158,a259,45
159,a102,58
160,a194,25
161,a172,66
162,a269,82
163,a41,28
164,a21,38
165,a135,49
166,a98,28
167,a1,25
168,a224,80
169,a97,77
170,a201,59
171,a54,32
172,a222,56
173,a109,83
174,a278,26
175,a268,87
176,a49,79
177,a153,76
178,a194,40
179,a151,83
180,a151,68
181,a220,74
182,a127,53
183,a232,78
184,a169,89
185,a175,64
186,a0,68
187,a294,42
188,a82,33
189,a96,66
190,a161,57
191,a128,46
192,a266,37
193,a79,85
194,a287,51
195,a43,27
196,a143,52
197,a71,25
198,a114,40
199,a268,69
200,a240,53
201,a8,64
202,a5,22
203,a90,21
204,a48,26
205,a82,24
206,a189,76
207,a56,83
208,a108,74
209,a82,38
210,a69,74
211,a148,64
212,a148,34
213,a70,70
214,a128,51
215,a299,63
216,a64,24
217,a229,56
218,a202,72
219,a146,62
220,a113,44
221,a265,37
222,a269,54
223,a110,57
224,a274,64
225,a68,55
226,a144,82
227,a191,49
228,a102,20
229,a69,85
230,a240,49
231,a281,79
232,a54,89
233,a73,23
234,a195,89
235,a264,73
236,a228,34
237,a206,28
238,a94,32
239,a166,71
240,a111,69
241,a158,46
242,a231,29
243,a76,55
244,a56,63
245,a128,24
246,a230,90
247,a297,58
248,a16,71
249,a244,73
250,a122,85
251,a191,87
252,a240,48
253,a116,28
254,a237,47
255,a4,55
256,a176,33
257,a84,81
258,a198,82
259,a27,21
260,a257,31
261,a125,85
262,a210,71
263,a288,65
264,a95,89
265,a61,81
266,a151,53
