#3
sailor
#3
sid,sname,age
#10000
1,U,42
2,J,42
3,B,27
4,O,27
5,P,49
6,U,63
7,I,31
8,C,36
9,P,68
10,P,38
11,A,59
12,J,67
13,B,36
14,G,35
15,W,59
16,K,67
17,N,67
18,M,65
19,S,51
20,P,32
21,Q,68
22,Q,67
23,E,37
24,V,58
25,V,29
26,J,32
27,A,24
28,U,69
29,C,40
30,K,57
31,X,31
32,H,60
33,E,62
34,J,37
35,T,28
36,Q,67
37,J,38
38,S,22
39,E,41
40,U,54
41,M,43
42,M,53
43,K,27
44,Y,40
45,E,44
46,V,35
47,F,62
48,I,39
49,R,61
50,T,36
51,Z,44
52,A,53
53,P,41
54,W,51
55,J,57
56,V,52
57,Q,55
58,G,42
59,T,51
60,K,21
61,X,68
62,E,32
63,J,35
64,T,46
65,B,36
66,J,36
67,R,42
68,S,69
69,L,60
70,C,69
71,H,35
72,B,40
73,Q,28
74,R,45
75,P,63
76,Q,22
77,L,56
78,L,21
79,H,59
80,I,33
81,R,38
82,P,22
83,J,45
84,Z,29
85,A,33
86,A,68
87,O,40
88,T,49
89,X,58
90,P,29
91,Q,31
92,Y,29
93,R,35
94,X,66
95,A,54
96,R,52
97,M,61
98,H,65
99,S,69
100,B,26
101,E,44
102,M,36
103,W,53
104,N,20
105,Z,61
106,C,46
107,E,25
108,Q,42
109,L,39
110,J,23
111,Q,22
112,E,36
113,P,38
114,M,55
115,D,62
116,W,66
117,S,43
118,A,27
119,S,50
120,I,21
121,U,63
122,Z,29
123,P,27
124,M,38
125,F,61
126,M,36
127,Q,68
128,N,25
129,I,28
130,T,44
131,F,60
132,X,26
133,Y,28
134,V,56
135,C,43
136,S,60
137,B,36
138,H,57
139,C,68
140,T,41
141,X,24
142,N,34
143,J,47
144,H,58
145,Y,65
146,V,47
147,W,62
148,V,68
149,Z,62
150,G,40
151,I,57
152,H,56
153,C,53
154,G,35
155,R,57
156,A,38
157,L,35
158,P,25
159,H,50
160,T,40
161,W,22
162,U,30
163,R,28
164,Y,30
165,N,35
166,U,32
167,S,36
168,C,27
169,V,59
170,E,55
171,H,69
172,C,29
173,W,42
174,D,47
175,G,56
176,R,38
177,C,61
178,N,34
179,Z,23
180,B,66
181,S,22
182,U,38
183,Z,58
184,Q,24
185,F,42
186,H,45
187,L,22
188,D,64
189,Y,48
190,I,30
191,B,39
192,Y,59
193,Q,40
194,E,64
195,V,59
196,E,57
197,S,32
198,Z,31
199,E,56
200,F,25
201,V,21
202,I,60
203,L,28
204,Y,21
205,S,51
206,I,40
207,T,63
208,W,36
209,C,20
210,T,48
211,P,57
212,H,42
213,H,46
214,U,29
215,B,65
216,S,31
217,J,30
218,J,21
219,B,26
220,J,43
221,M,26
222,E,29
223,L,57
224,A,62
225,J,53
226,D,29
227,Z,52
228,M,23
229,T,64
230,N,65
231,J,57
232,Z,59
233,X,24
234,B,46
235,M,62
236,G,68
237,R,33
238,C,44
239,O,24
240,Z,46
241,N,67
242,V,39
243,U,46
244,G,55
245,S,36
246,H,29
247,P,41
248,C,56
249,D,39
250,H,37
251,S,43
252,J,45
253,K,27
254,N,55
255,O,69
256,M,52
257,W,69
258,K,40
259,X,49
260,A,39
261,V,37
262,U,28
263,O,23
264,J,31
265,E,38
